step_time,reward,total_stopped,total_wait_time
1365.0,-1.92,41,1494.0
1370.0,-2.130000000000001,44,1707.0
1375.0,-0.41000000000000014,38,1748.0
1380.0,1.1000000000000014,32,1638.0
1385.0,0.10999999999999943,28,1627.0
1390.0,1.5599999999999987,22,1471.0
1395.0,0.34000000000000163,25,1437.0
1400.0,1.5099999999999998,24,1286.0
1405.0,1.8699999999999992,26,1099.0
1410.0,0.35999999999999943,25,1063.0
1415.0,-0.23999999999999844,27,1087.0
1420.0,0.129999999999999,25,1074.0
1425.0,0.9700000000000006,25,977.0
1430.0,-1.0500000000000007,24,1082.0
1435.0,-1.0700000000000003,27,1189.0
1440.0,0.6000000000000014,24,1129.0
1445.0,2.2299999999999986,15,906.0
1450.0,0.16000000000000014,10,890.0
1455.0,-0.6999999999999993,20,960.0
1460.0,0.11999999999999922,23,948.0
1465.0,0.2900000000000009,22,919.0
1470.0,0.4399999999999995,22,875.0
1475.0,1.8499999999999996,14,690.0
1480.0,0.25,10,665.0
1485.0,-0.5800000000000001,15,723.0
1490.0,1.2300000000000004,18,600.0
1495.0,-0.41999999999999993,23,642.0
1500.0,-0.3799999999999999,21,680.0
1505.0,-0.0600000000000005,19,686.0
1510.0,-0.71,19,757.0
1515.0,-0.9399999999999995,20,851.0
1520.0,-1.0,20,951.0
1525.0,-1.0999999999999996,22,1061.0
1530.0,0.8300000000000001,22,978.0
1535.0,2.4699999999999998,14,731.0
1540.0,0.05999999999999961,12,725.0
1545.0,-0.75,17,800.0
1550.0,-0.5999999999999996,20,860.0
1555.0,-0.7800000000000011,23,938.0
1560.0,-1.2599999999999998,28,1064.0
1565.0,-1.4900000000000002,31,1213.0
1570.0,-0.40999999999999837,29,1254.0
1575.0,0.009999999999999787,26,1253.0
1580.0,-1.1000000000000014,29,1363.0
1585.0,0.7000000000000011,24,1293.0
1590.0,2.83,16,1010.0
1595.0,3.9299999999999997,10,617.0
1600.0,0.33000000000000007,10,584.0
1605.0,0.4900000000000002,13,535.0
1610.0,-0.6300000000000008,20,598.0
1615.0,-1.0099999999999998,24,699.0
1620.0,-0.71,22,770.0
1625.0,-0.5599999999999996,20,826.0
1630.0,-1.0600000000000005,24,932.0
1635.0,-1.2400000000000002,25,1056.0
1640.0,-0.4399999999999995,26,1100.0
1645.0,-1.3900000000000006,28,1239.0
1650.0,-1.4299999999999997,30,1382.0
1655.0,-1.3900000000000006,31,1521.0
1660.0,-1.6199999999999974,33,1683.0
1665.0,-0.870000000000001,29,1770.0
1670.0,-0.19000000000000128,28,1789.0
1675.0,-1.370000000000001,34,1926.0
1680.0,-1.4399999999999977,30,2070.0
1685.0,-1.490000000000002,32,2219.0
1690.0,-1.2799999999999976,32,2347.0
1695.0,-1.7000000000000028,34,2517.0
1700.0,1.4700000000000024,30,2370.0
1705.0,4.239999999999998,22,1946.0
1710.0,6.200000000000001,17,1326.0
1715.0,3.869999999999999,14,939.0
1720.0,0.5600000000000005,9,883.0
1725.0,-0.5700000000000003,18,940.0
1730.0,-1.0899999999999999,26,1049.0
1735.0,-0.28999999999999915,24,1078.0
1740.0,0.7699999999999996,20,1001.0
1745.0,-0.8599999999999994,23,1087.0
1750.0,-1.33,30,1220.0
1755.0,-1.0,26,1320.0
1760.0,-0.8000000000000007,24,1400.0
1765.0,-1.3100000000000005,29,1531.0
1770.0,-1.450000000000001,29,1676.0
1775.0,-1.25,28,1801.0
1780.0,-1.3599999999999994,31,1937.0
1785.0,-0.7799999999999976,34,2015.0
1790.0,-1.7000000000000028,34,2185.0
1795.0,-1.7399999999999984,37,2359.0
1800.0,-1.5100000000000016,34,2510.0
1805.0,-1.6099999999999994,34,2671.0
1810.0,1.6300000000000026,31,2508.0
1815.0,4.539999999999999,28,2054.0
1820.0,0.16000000000000014,23,2038.0
1825.0,-1.0800000000000018,21,2146.0
1830.0,-0.8000000000000007,22,2226.0
1835.0,-1.0799999999999983,29,2334.0
1840.0,-0.33999999999999986,30,2368.0
1845.0,0.46000000000000085,32,2322.0
1850.0,1.8599999999999994,27,2136.0
1855.0,5.469999999999999,23,1589.0
1860.0,-0.8200000000000003,15,1671.0
1865.0,-0.5999999999999979,15,1731.0
1870.0,-0.9000000000000021,21,1821.0
1875.0,-0.5500000000000007,20,1876.0
1880.0,-0.6499999999999986,27,1941.0
1885.0,-1.5399999999999991,32,2095.0
1890.0,-1.7600000000000016,37,2271.0
1895.0,-1.5799999999999983,34,2429.0
1900.0,-1.5800000000000018,34,2587.0
1905.0,1.5500000000000007,30,2432.0
